symbol,direction,entry_time,entry_price,exit_time,exit_price,qty,pnl,pnl_pct,exit_reason,b_price,a_price,c_price,sl_price,tp1_price,tp2_price,atr_entry
RB,SHORT,2024-03-29 15:00:00,3411.0,2024-09-06 14:30:00,2956.9285714285716,1,454.07142857142844,13.311973866063575,TRAILING_STOP,3414.0,3883.0,3630.0,3630.0,2945.0,2476.0,14.928571428571429
Y,LONG,2020-07-06 13:30:00,5830.0,2020-07-17 02:15:00,6083.428571428572,1,253.42857142857156,4.346973780936048,TRAILING_STOP,5830.0,5564.0,5578.0,5578.0,6096.0,6362.0,20.571428571428573
Y,LONG,2023-07-20 03:00:00,8242.0,2023-08-08 13:45:00,7898.0,1,-344.0,-4.173744236835719,HARD_STOP,8226.0,6710.0,7898.0,7898.0,9742.0,11258.0,37.142857142857146
Y,LONG,2023-11-03 14:15:00,8188.0,2023-12-13 01:15:00,8044.0,1,-144.0,-1.7586712261846604,STRUCTURE_STOP,8186.0,7708.0,7730.0,7730.0,8664.0,9142.0,26.428571428571427
Y,SHORT,2024-07-12 06:00:00,7674.0,2024-10-31 01:15:00,8454.0,1,-780.0,-10.164190774042225,STRUCTURE_STOP,7674.0,8188.0,8090.0,8090.0,7160.0,6646.0,26.857142857142858
Y,SHORT,2024-12-05 01:45:00,7958.0,2025-07-30 01:15:00,8270.0,1,-312.0,-3.920583061070615,HARD_STOP,7972.0,9024.0,8270.0,8270.0,6920.0,5868.0,30.571428571428573
P,SHORT,2021-12-14 06:45:00,8974.0,2022-01-04 01:15:00,9716.0,1,-742.0,-8.268330733229323,HARD_STOP,8990.0,10018.0,9716.0,9716.0,7962.0,6934.0,37.857142857142854
P,LONG,2022-11-09 02:15:00,8378.0,2022-11-21 02:45:00,7782.0,1,-596.0,-7.113869658629746,HARD_STOP,8358.0,6882.0,7782.0,7782.0,9834.0,11310.0,61.714285714285715
P,LONG,2023-07-20 01:30:00,7764.0,2023-08-08 02:15:00,7356.0,1,-408.0,-5.255023183925811,HARD_STOP,7744.0,6226.0,7356.0,7356.0,9262.0,10780.0,40.0
EB,SHORT,2020-12-07 03:15:00,7219.0,2021-03-02 06:00:00,8983.0,1,-1764.0,-24.43551738467933,STRUCTURE_STOP,7226.0,8435.0,7773.0,7773.0,6017.0,4808.0,57.857142857142854
EB,LONG,2021-12-28 05:45:00,8263.0,2022-01-07 13:30:00,9266.785714285714,1,1003.7857142857138,12.14795733130478,TRAILING_STOP,8260.0,7465.0,7701.0,7701.0,9055.0,9850.0,33.214285714285715
EB,LONG,2025-07-25 06:30:00,7539.0,2025-08-18 01:15:00,7185.0,1,-354.0,-4.695582968563472,HARD_STOP,7531.0,7180.0,7185.0,7185.0,7882.0,8233.0,33.0
EB,SHORT,2026-05-12 01:45:00,8971.0,2026-05-12 02:00:00,9581.392857142857,1,-610.3928571428569,-6.804067073267839,HARD_STOP,9003.0,10098.0,9445.0,9581.392857142857,7908.0,6813.0,406.92857142857144
EB,SHORT,2026-05-22 03:15:00,8863.0,2026-05-27 13:30:00,8583.785714285714,1,279.21428571428623,3.1503360680840142,TRAILING_STOP,8873.0,9445.0,9435.0,9435.0,8301.0,7729.0,303.7857142857143
EB,SHORT,2026-06-01 02:00:00,8514.0,2026-06-03 03:00:00,8992.714285714286,1,-478.71428571428623,-5.622671901741683,HARD_STOP,8582.0,9513.0,8896.0,8992.714285714286,7651.0,6720.0,319.14285714285717
L,LONG,2021-03-08 05:45:00,9175.0,2021-03-19 01:15:00,8645.0,1,-530.0,-5.7765667574931845,HARD_STOP,9145.0,7395.0,8645.0,8645.0,10895.0,12645.0,63.214285714285715
L,LONG,2023-07-05 14:00:00,7901.0,2023-07-14 06:45:00,8152.0,1,251.0,3.176813061637773,TRAILING_STOP,7899.0,7609.0,7732.0,7732.0,8189.0,8479.0,42.0
L,LONG,2023-09-04 15:00:00,8460.0,2023-11-02 05:45:00,8225.0,1,-235.0,-2.777777777777779,HARD_STOP,8444.0,8019.0,8225.0,8225.0,8869.0,9294.0,17.571428571428573
L,SHORT,2024-08-08 13:30:00,8150.0,2024-11-14 13:15:00,8328.0,1,-178.0,-2.184049079754602,HARD_STOP,8156.0,8670.0,8328.0,8328.0,7642.0,7128.0,16.142857142857142
L,LONG,2026-03-20 13:45:00,9071.0,2026-04-10 13:15:00,8107.0,1,-964.0,-10.627273729467534,HARD_STOP,8894.0,6553.0,8107.0,8107.0,11235.0,13576.0,233.07142857142858
PG,LONG,2021-08-13 01:30:00,5192.0,2021-11-03 13:15:00,4862.0,1,-330.0,-6.355932203389836,HARD_STOP,5192.0,4715.0,4862.0,4862.0,5669.0,6146.0,26.0
PG,SHORT,2022-08-08 01:30:00,5148.0,2022-08-23 01:15:00,5547.0,1,-399.0,-7.750582750582757,HARD_STOP,5158.0,6046.0,5547.0,5547.0,4270.0,3382.0,30.5
PG,LONG,2026-03-20 01:45:00,6426.0,2026-04-08 02:15:00,5220.0,1,-1206.0,-18.76750700280112,HARD_STOP,6108.0,4358.0,5220.0,5220.0,7858.0,9608.0,426.64285714285717
PG,LONG,2026-05-18 03:30:00,6231.0,2026-05-22 01:15:00,5669.785714285714,1,-561.2142857142862,-9.00680927161429,HARD_STOP,6215.0,5628.0,5865.0,5669.785714285714,6802.0,7389.0,374.14285714285717
PG,SHORT,2026-06-01 02:15:00,5356.0,2026-06-01 15:00:00,5824.964285714286,1,-468.96428571428623,-8.75586791848928,HARD_STOP,5616.0,6271.0,5731.0,5824.964285714286,4961.0,4306.0,312.64285714285717
PG,LONG,2026-06-08 05:45:00,5935.0,2026-06-08 13:15:00,5331.357142857143,1,-603.6428571428569,-10.170899025153446,HARD_STOP,5850.0,5407.0,5551.0,5331.357142857143,6293.0,6736.0,402.42857142857144
TA,LONG,2021-12-27 02:45:00,4792.0,2022-01-07 03:15:00,5236.428571428572,1,444.42857142857156,9.274385881230618,TRAILING_STOP,4784.0,4340.0,4528.0,4528.0,5228.0,5672.0,21.571428571428573
TA,LONG,2022-04-19 03:00:00,6244.0,2022-05-05 13:15:00,6637.0,1,393.0,6.2940422805893625,TRAILING_STOP,6222.0,5850.0,5860.0,5860.0,6594.0,6966.0,23.0
TA,LONG,2023-03-22 07:00:00,5876.0,2023-03-31 15:00:00,6359.285714285715,1,483.2857142857147,8.224739861908015,TRAILING_STOP,5876.0,5378.0,5474.0,5474.0,6374.0,6872.0,24.714285714285715
TA,SHORT,2026-05-14 01:45:00,6286.0,2026-05-18 01:15:00,6568.0,1,-282.0,-4.486159720012717,HARD_STOP,6308.0,6844.0,6568.0,6568.0,5772.0,5236.0,111.57142857142857
